group,question,response,value,Value2,Value3,Value4,Value5,Value6
Group_1,Question_1,Response_1,0.28,0.15,0.4,0.55,0.86,0.58
Group_1,Question_1,Response_2,0.12,0.47,0.37,0.18,0.26,0.48
Group_1,Question_1,Response_3,0.29,0.52,0.4,0.28,0.01,0.49
Group_1,Question_2,Response_1,0.17170,0.7083,0.12291,0.20988,0.28355,0.20605
Group_1,Question_2,Response_2,0.11299,0.28188,0.33346,0.34274,0.8668,0.33439
Group_1,Question_3,Response_1,0.33,0.42,0.67,0.35,0.19,0.52
Group_1,Question_4,Response_1,0.58,0.4,0.06,0.16,0.16,0.91
Group_1,Question_4,Response_2,0.26,0.04,0.45,0.53,0.11,0.79
Group_2,Question_1,Response_1,0.11,0.27,0.02,0.42,0.17,0.74
Group_2,Question_1,Response_2,0.06,0.28,0.39,0.52,0.46,0.54
Group_2,Question_1,Response_3,0.05,0.21,0,0.4,0.14,0.53
Group_2,Question_1,Response_4,1,0.21,0.54,0.23,0.16,0.87
Group_2,Question_2,Response_1,0.95,0.52,0.59,0.16,0.95,0.64
Group_2,Question_2,Response_2,0.37,0.15,0.55,0.92,0.16,0.56
Group_2,Question_2,Response_3,0.95,0.42,0.42,0.37,0.9,0.04
Group_2,Question_2,Response_4,0.11,0.99,1,0.01,0,0.55
Group_2,Question_3,Response_1,0.52,0.41,0.02,0.77,0.06,0.15
Group_2,Question_3,Response_2,0.77,0.5,0.26,0.85,0.68,0.35
Group_2,Question_3,Response_3,0.74,0.99,0,0.68,0.11,0.89
Group_2,Question_3,Response_4,0.61,0.13,0.58,0.29,0.38,0.6
Group_2,Question_3,Response_5,0,0.83,0.45,0.73,0.05,0.06
Group_2,Question_3,Response_6,0.95,0.47,0.84,0.1,0.01,0.91
Group_2,Question_3,Response_7,0.11,0.89,0.46,0.99,0.24,0.33
Group_2,Question_3,Response_8,0.99,0.44,0.25,0.13,0.99,0.36
Group_2,Question_3,Response_9,0.79,0.35,0.87,0.61,0,1
Group_2,Question_3,Response_10,0.56,0.89,0.43,0.49,0.43,0.87
Group_2,Question_4,Response_1,0.87,0.84,0.31,0.29,0.45,0.32
Group_2,Question_4,Response_2,0.65,0.7,0.24,0.81,0.8,0.95
Group_2,Question_4,Response_3,0.71,0.18,0.4,0.1,0.98,0.19
Group_3,Question_1,Response_1,0.48,0.62,0.99,0.75,0.98,0.25
Group_3,Question_1,Response_2,0.09,0.79,0.61,0.99,0.98,0.36
Group_3,Question_1,Response_3,0.41,0.74,0.82,0.62,0.74,0.66
Group_3,Question_1,Response_4,0.18,0.82,0.08,0.62,0.1,0.11
Group_3,Question_1,Response_5,0.02,0.28,0.46,0.79,0.46,0.05
Group_3,Question_2,Response_1,0.46,0.33,0.25,0.54,0.3,0.24
Group_3,Question_2,Response_2,0.07,0.32,0.84,0.76,0.32,0.5
Group_3,Question_2,Response_3,0.15,0.83,0.41,0.31,0.27,0.39
Group_3,Question_2,Response_4,0.2,0.63,0.51,0.89,0.03,0.13
Group_3,Question_2,Response_5,0.34,0.89,0.93,0.54,0.78,0.9
Group_3,Question_3,Response_1,0.59,0.87,0.68,0.45,1,0.8
Group_3,Question_3,Response_2,0.7,0.86,0.62,0.07,0.98,0.45
Group_3,Question_3,Response_3,0.57,0.91,0.97,0.04,0.26,0.92
Group_3,Question_4,Response_1,0.19,0.8,0.77,0.33,0.63,0.34
Group_3,Question_4,Response_2,0.13,0.16,0.1,0.42,0.01,0.37
Group_3,Question_4,Response_3,0.37,0.7,0.72,0,0.79,0.47
Group_3,Question_4,Response_4,0.33,0.59,0.92,0.6,0.81,0.53
Group_3,Question_4,Response_5,0.11,0.38,0.09,0.35,0.31,0.94
Group_3,Question_4,Response_6,0.5,0.02,0.63,0.95,0.33,0.81
Group_3,Question_4,Response_7,0.1,0.61,0.39,0.14,0.14,0.18
Group_3,Question_4,Response_8,0.06,0.22,0.81,0.22,0.81,0.08
Group_4,Question_1,Response_1,0.98,0.06,0.22,0.42,0.34,0.97
Group_4,Question_1,Response_2,0.13,0.9,0.38,0.8,0.48,0.09
Group_4,Question_1,Response_3,0.1,0.01,0.88,0.28,0.07,0.22
Group_4,Question_1,Response_4,0.62,0.14,0.07,0.56,0.07,0.88
Group_4,Question_2,Response_1,0.97,0.87,0.41,0.67,0.04,0.66
Group_4,Question_2,Response_2,0.71,0.32,0.92,0.83,0.81,1
Group_4,Question_2,Response_3,0.5,0.72,0.65,0.05,0.78,0.19
Group_4,Question_2,Response_4,0.04,0.58,0.35,0.29,0.4,0.11
Group_4,Question_3,Response_1,0.15,0.47,0.24,0.9,0.05,0.02
Group_4,Question_3,Response_2,0.75,0.37,0.86,0.23,0.16,0.96
Group_4,Question_3,Response_3,0.88,0.56,0.61,0.31,0.84,0.52
Group_4,Question_3,Response_4,0.54,0.68,0.51,0.1,0.24,0.9
