group,question,response,value,Value2,Value3,Value4,Value5,Value6
Group_1,Question_1,Response_1,0.31,0.45,0.88,0.01,0.17,0.47
Group_1,Question_1,Response_2,0.57,0.6,0.79,0.82,0.5,0.6
Group_1,Question_1,Response_3,0.14,0.47,0.5,0.63,0.86,0.76
Group_1,Question_2,Response_1,0.17492,0.28188,0.18774,0.28877,0.26629,0.16643
Group_1,Question_2,Response_2,0.7330,0.26886,0.31180,0.12845,0.31589,0.18054
Group_1,Question_3,Response_1,0.20,0.71,0.51,0.24,0.71,0.53
Group_1,Question_4,Response_1,0.32,0.7,0.44,0.78,1,0.73
Group_1,Question_4,Response_2,0.99,0.59,0.05,0.61,0.21,0.28
Group_2,Question_1,Response_1,0.18,0.73,0.25,0.35,0.36,0.89
Group_2,Question_1,Response_2,0.47,0.66,0.45,0.43,0.68,0.64
Group_2,Question_1,Response_3,0.83,0.82,0.41,0.87,0.5,0.04
Group_2,Question_1,Response_4,0.72,0.12,0.06,0.41,0.63,0.65
Group_2,Question_2,Response_1,0.38,0.85,0.49,0.55,0.7,0.41
Group_2,Question_2,Response_2,0.2,0.93,0.98,0.5,0.05,0.19
Group_2,Question_2,Response_3,0.12,0,0.15,0.19,0,0.36
Group_2,Question_2,Response_4,0.2,0.92,0.59,0.49,0.33,0.35
Group_2,Question_3,Response_1,0.43,0.09,0.49,0.36,0.1,0.1
Group_2,Question_3,Response_2,0.26,0.13,0.03,0.48,0.59,0.86
Group_2,Question_3,Response_3,0.49,0.53,0.41,0.21,0.74,0.76
Group_2,Question_3,Response_4,0.59,0.78,0.23,0.85,1,0.77
Group_2,Question_3,Response_5,0.67,0.7,0.53,0.48,0.93,0.55
Group_2,Question_3,Response_6,0.8,0.9,0.38,0.38,0.16,0.43
Group_2,Question_3,Response_7,0.43,0.57,0.04,0.59,0.98,0.03
Group_2,Question_3,Response_8,0.86,0.78,0.97,0.99,0.28,0.54
Group_2,Question_3,Response_9,0.9,0.84,0.92,0.54,0.51,0.46
Group_2,Question_3,Response_10,0.38,0.82,0.3,0.59,0.61,0.42
Group_2,Question_4,Response_1,0.82,0.38,0.02,0.02,0.23,0.98
Group_2,Question_4,Response_2,0.18,0.94,0.1,0.29,0.46,0.99
Group_2,Question_4,Response_3,0.8,0.44,0.27,0.76,0.67,0.64
Group_3,Question_1,Response_1,0.65,0.35,0.84,0.83,0.7,0.32
Group_3,Question_1,Response_2,0.6,0.84,0.49,0.81,0.07,0.69
Group_3,Question_1,Response_3,0.16,0.83,0.02,0.57,0.91,0.47
Group_3,Question_1,Response_4,0.68,0.6,0.63,0.5,0.8,0.43
Group_3,Question_1,Response_5,0.5,0.85,0.29,0.82,0.02,0.96
Group_3,Question_2,Response_1,0.24,0.42,0.55,0.14,0.02,0.85
Group_3,Question_2,Response_2,0.87,0.48,0.11,0.24,0.97,0.1
Group_3,Question_2,Response_3,0.43,0.58,0.14,0.43,0.56,0.53
Group_3,Question_2,Response_4,0.05,0.68,0.73,0.29,0.92,0.3
Group_3,Question_2,Response_5,0.82,0.46,0.17,0.82,0.2,0.44
Group_3,Question_3,Response_1,0,0.79,0.09,0.12,0.54,0.74
Group_3,Question_3,Response_2,0.21,0.98,0.81,0.9,0.49,0.55
Group_3,Question_3,Response_3,0.79,0.51,0.65,0.29,0.35,0.08
Group_3,Question_4,Response_1,0.19,0.76,0.31,0.57,0.26,0.63
Group_3,Question_4,Response_2,0.79,0.49,0.56,0.1,0.74,0.99
Group_3,Question_4,Response_3,0.88,0.54,0.1,0.01,0.17,0.84
Group_3,Question_4,Response_4,0.99,0.08,0.25,0.41,0.19,0.23
Group_3,Question_4,Response_5,0.42,0.14,0.84,0.73,0.44,0.51
Group_3,Question_4,Response_6,0.16,0.95,0.88,0.12,0.62,0.95
Group_3,Question_4,Response_7,0.7,0.46,0.52,0.18,0.95,0.81
Group_3,Question_4,Response_8,0.21,0.41,0.01,0.06,0.65,0.77
