Group,Question,Response,value,Region II,Region III,Region IV,Region V,Region VI,Region VII,Region VIII,Total
Demographics,Gender,% male,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50
Demographics,Gender,% female,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.50
Demographics,Age groups,<25,0.15,0.22,0.16,0.14,0.16,0.19,0.22,0.24,0.18
Demographics,Age groups,25 - 49,0.49,0.59,0.50,0.51,0.55,0.53,0.58,0.46,0.53
Demographics,Age groups,50 - 64,0.19,0.16,0.25,0.23,0.22,0.20,0.16,0.19,0.20
Demographics,Age groups,>64,0.17,0.03,0.09,0.12,0.07,0.08,0.04,0.11,0.09
Demographics,Marital status,"Single, never married",0.27,0.24,0.17,0.19,0.21,0.23,0.23,0.16,0.22
Demographics,Marital status,Married / living with partner,0.36,0.56,0.49,0.48,0.50,0.49,0.53,0.49,0.48
Demographics,Marital status,Married living apart from your spouse,0.09,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.04
Demographics,Marital status,United,0.16,0.14,0.24,0.24,0.20,0.18,0.17,0.25,0.18
Demographics,Marital status,Divorced / separated,0.03,0.01,0.02,0.01,0.00,0.01,0.00,0.01,0.01
Demographics,Marital status,Widow(er),0.09,0.03,0.05,0.06,0.06,0.07,0.05,0.05,0.06
Demographics,Relation to household head,self,0.50,0.39,0.51,0.47,0.50,0.43,0.45,0.46,0.46
Demographics,Relation to household head,Spouse of the head,0.24,0.28,0.29,0.31,0.27,0.28,0.31,0.36,0.28
Demographics,Relation to household head,Child of the head,0.16,0.24,0.16,0.19,0.15,0.20,0.17,0.14,0.18
Demographics,Relation to household head,Father / mother of the head,0.06,0.05,0.00,0.01,0.05,0.06,0.05,0.01,0.05
Demographics,Relation to household head,Other,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.04,0.04
Demographics,Education,read / write (% yes),0.93,0.78,0.79,0.84,0.87,0.82,0.78,0.82,0.84
Demographics,Education,Level - % None,0.07,0.23,0.21,0.20,0.12,0.17,0.23,0.22,0.17
Demographics,Education,Level - % Primary incomplete,0.16,0.18,0.29,0.29,0.25,0.29,0.25,0.28,0.24
Demographics,Education,Level - % Primary complete,0.20,0.18,0.21,0.20,0.24,0.21,0.18,0.18,0.20
Demographics,Education,Level - % At least some secondary or higher,0.58,0.41,0.29,0.32,0.39,0.34,0.34,0.32,0.39
Demographics,Home language,K'iche,0.02,0.00,0.00,0.00,0.01,0.19,0.20,0.01,0.08
Demographics,Home language,Kaqchiquel,0.02,0.00,0.00,0.00,0.14,0.03,0.00,0.00,0.03
Demographics,Home language,Mam,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.00,0.03
Demographics,Home language,Q'eqchi,0.00,0.38,0.04,0.00,0.00,0.00,0.00,0.28,0.05
Demographics,Home language,Other indigenous,0.01,0.06,0.00,0.00,0.00,0.01,0.07,0.01,0.02
Demographics,Home language,Spanish/Castallano,0.95,0.48,0.94,1.00,0.84,0.70,0.37,0.71,0.74
Demographics,Home language,Other non-indigenous,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Demographics,Home language,Achi,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Demographics,Home language,Ixil,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.02
Demographics,Home language,Qanjobal,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.01
Demographics,Group of origin,Mayan - K'iche,0.05,0.01,0.00,0.00,0.02,0.26,0.38,0.02,0.13
Demographics,Group of origin,Mayan - Q'eqchi,0.00,0.50,0.04,0.00,0.00,0.00,0.00,0.28,0.07
Demographics,Group of origin,Mayan - Kaqchikel,0.08,0.00,0.00,0.00,0.25,0.05,0.00,0.01,0.06
Demographics,Group of origin,Mayan - Mam,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.00,0.04
Demographics,Group of origin,Mayan - Other,0.01,0.12,0.01,0.01,0.02,0.02,0.20,0.01,0.05
Demographics,Group of origin,Non Mayan - Garifuna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Demographics,Group of origin,Non Mayan - Xinka,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
Demographics,Group of origin,Mixed,0.12,0.07,0.09,0.29,0.13,0.10,0.01,0.09,0.11
Demographics,Group of origin,Latino,0.70,0.25,0.81,0.64,0.51,0.41,0.25,0.58,0.50
Demographics,Group of origin,Non Indigenous,0.04,0.02,0.01,0.02,0.05,0.07,0.02,0.01,0.04
Demographics,Group of origin,Achi,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Demographics,Group of origin,Chorti,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
Demographics,Group of origin,"Other, specify",0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01
