Group,Question,Response,Karamoja,Acholi,West Nile,South West,National,TOTAL,Unit,
Education and Peacebuilding,Education services contribution to peace,Positive,96%,93%,93%,96%,84%,84%,%,
Education and Peacebuilding,Education services contribution to peace,Negative,3%,2%,1%,1%,10%,10%,%,
Education and Peacebuilding,Education services contribution to peace,None,1%,3%,2%,3%,4%,4%,%,
Education and Peacebuilding,Education services contribution to peace,Refuse / no response,1%,2%,4%,0%,1%,1%,%,
Education and Peacebuilding,"Education contribution in helping people live together peacefully positive, negative, or none",Positive,96%,93%,95%,96%,85%,85%,%,
Education and Peacebuilding,"Education contribution in helping people live together peacefully positive, negative, or none",Negative,2%,3%,1%,0%,9%,9%,%,
Education and Peacebuilding,"Education contribution in helping people live together peacefully positive, negative, or none",None,2%,3%,2%,3%,5%,5%,%,
Education and Peacebuilding,"Education contribution in helping people live together peacefully positive, negative, or none",Refuse / no response,1%,1%,2%,0%,2%,2%,%,
Education and Peacebuilding,"Education contribution in helping people live together peacefully positive, negative, or none",Yes,88%,88%,70%,78%,71%,71%,%,
Education and Peacebuilding,Do you talk about these events with anyone?,Yes,72%,65%,52%,68%,52%,52%,%,
Education and Peacebuilding,"If yes, with who?",Parents,13%,7%,24%,7%,14%,14%,%,
Education and Peacebuilding,"If yes, with who?",Children,18%,19%,13%,26%,21%,21%,%,
Education and Peacebuilding,"If yes, with who?",Other household members,29%,26%,6%,4%,9%,9%,%,
Education and Peacebuilding,"If yes, with who?",Friends,21%,36%,33%,32%,40%,40%,%,
Education and Peacebuilding,"If yes, with who?",Teachers / at school,3%,4%,15%,9%,6%,6%,%,
Education and Peacebuilding,"If yes, with who?",Religious leaders,3%,1%,2%,11%,3%,3%,%,
Education and Peacebuilding,"If yes, with who?",Political leaders,1%,2%,0%,2%,1%,1%,%,
Education and Peacebuilding,"If yes, with who?",Local leaders,10%,3%,7%,10%,5%,5%,%,
Education and Peacebuilding,"If yes, with who?",Other,4%,2%,1%,1%,2%,2%,%,
Education and Peacebuilding,"If yes, with who?",Refuse / no response,0%,1%,1%,0%,0%,0%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,No way,6%,3%,10%,6%,9%,9%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,Talk openly with family / friends,36%,37%,46%,33%,31%,31%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,Learn in school,44%,43%,22%,43%,41%,41%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,"Build memorial, museum",0%,0%,1%,2%,3%,3%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,"Write books,..",1%,4%,10%,12%,10%,10%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,Other,12%,9%,2%,2%,3%,3%,%,
Education and Peacebuilding,Best way for youth to learn about the conflicts that happened,Refuse / no response,0%,4%,9%,2%,4%,4%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Very important,60%,62%,54%,59%,44%,44%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Important,29%,34%,26%,25%,35%,35%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Somewhat important,6%,1%,7%,3%,6%,6%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Not so important,2%,2%,9%,5%,7%,7%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Not important at all,2%,1%,4%,7%,6%,6%,%,
Education and Peacebuilding,How important is it for students to learn about the conflicts in school?,Refuse / no response,1%,0%,2%,1%,2%,2%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Very important,51%,59%,44%,57%,41%,41%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Important,40%,38%,41%,28%,39%,39%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Somewhat important,7%,2%,7%,5%,10%,10%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Not so important,2%,1%,4%,4%,5%,5%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Not important at all,0%,0%,4%,6%,3%,3%,%,
Education and Peacebuilding,How important is it for students to learn how to manage conflicts without violence?,Refuse / no response,1%,0%,1%,1%,2%,2%,%,
Education and Peacebuilding,How much do you think students learn about the conflicts in school today?,Not at all,7%,9%,21%,5%,15%,15%,%,
Education and Peacebuilding,How much do you think students learn about the conflicts in school today?,A little,28%,55%,53%,49%,48%,48%,%,
Education and Peacebuilding,How much do you think students learn about the conflicts in school today?,Quite a bit,30%,17%,10%,24%,18%,18%,%,
Education and Peacebuilding,How much do you think students learn about the conflicts in school today?,A lot,31%,15%,12%,21%,14%,14%,%,
Education and Peacebuilding,How much do you think students learn about the conflicts in school today?,Refuse / no response,4%,4%,5%,1%,4%,4%,%,
Education and Peacebuilding,How much students learn about managing conflicts without violence,Not at all,7%,6%,21%,4%,12%,12%,%,
Education and Peacebuilding,How much students learn about managing conflicts without violence,A little,32%,51%,51%,51%,49%,49%,%,
Education and Peacebuilding,How much students learn about managing conflicts without violence,Quite a bit,29%,21%,12%,24%,20%,20%,%,
Education and Peacebuilding,How much students learn about managing conflicts without violence,A lot,29%,17%,12%,21%,15%,15%,%,
Education and Peacebuilding,How much students learn about managing conflicts without violence,Refuse / no response,4%,5%,4%,0%,4%,4%,%,
"Marginalization, Exclusion, and Discrimination",Gender Equity in Education Index,Mean average,50%,85%,77%,89%,82%,82%,%,
"Marginalization, Exclusion, and Discrimination",Perception of Diversity In School Index,Mean average,71%,81%,71%,74%,71%,71%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of gender,Major Problem in School,24%,7%,16%,20%,19%,19%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of gender,Minor Problem in School,17%,24%,21%,24%,26%,26%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of gender,Not a problem,55%,67%,62%,53%,53%,53%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of gender,Refuse / no response,5%,2%,2%,3%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of ethnicity or tribe,Major Problem in School,20%,5%,21%,23%,16%,16%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of ethnicity or tribe,Minor Problem in School,16%,17%,15%,23%,26%,26%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of ethnicity or tribe,Not a problem,59%,76%,63%,52%,56%,56%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of ethnicity or tribe,Refuse / no response,5%,2%,2%,2%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of religion,Major Problem in School,13%,5%,15%,19%,12%,12%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of religion,Minor Problem in School,18%,17%,16%,22%,23%,23%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of religion,Not a problem,64%,77%,68%,57%,61%,61%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of religion,Refuse / no response,5%,2%,2%,2%,4%,4%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of wealth or class status,Major Problem in School,18%,3%,12%,23%,16%,16%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of wealth or class status,Minor Problem in School,16%,21%,21%,23%,25%,25%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of wealth or class status,Not a problem,61%,75%,66%,52%,57%,57%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of wealth or class status,Refuse / no response,5%,2%,2%,3%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of political affiliation,Major Problem in School,13%,3%,9%,20%,12%,12%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of political affiliation,Minor Problem in School,17%,13%,20%,21%,24%,24%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of political affiliation,Not a problem,64%,82%,71%,57%,61%,61%,%,
"Marginalization, Exclusion, and Discrimination",Discrimination against students because of political affiliation,Refuse / no response,6%,2%,1%,3%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination","Are some students excluded, marginalized, or discriminated against in school",Yes,9%,7%,8%,14%,14%,14%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Political affiliation,0%,6%,24%,3%,11%,11%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Ethnicity/tribe,13%,35%,48%,26%,30%,30%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Gender,22%,12%,48%,21%,39%,39%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Religious belief,4%,6%,38%,8%,25%,25%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Returnees (specify from where),0%,18%,19%,3%,2%,2%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Internally displaced,9%,0%,24%,11%,6%,6%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Refugees,0%,6%,14%,5%,7%,7%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school","Handicap, deaf/mute, albinos",39%,47%,10%,55%,39%,39%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Other,44%,24%,10%,21%,16%,16%,%,
"Marginalization, Exclusion, and Discrimination","Type of students that are subjected to exclusion, marginalization, or discriminated in school",Refuse / no response,4%,12%,5%,0%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Barred from attending school,39%,35%,38%,11%,23%,23%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Lower grades,35%,18%,38%,42%,34%,34%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Not elected for school leadership,44%,18%,48%,47%,36%,36%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Denial of food at school,39%,6%,24%,45%,28%,28%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school","Called unpleasant names(nickname) , insults",44%,59%,48%,58%,53%,53%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Exclusion from co curricular activities,44%,29%,19%,24%,36%,36%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Other,9%,12%,0%,8%,7%,7%,%,
"Marginalization, Exclusion, and Discrimination","Type of exclusion, marginalization or discrimination in school",Refuse / no response,4%,6%,10%,3%,6%,6%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Nobody,4%,4%,7%,4%,7%,7%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Teacher,89%,76%,71%,64%,69%,69%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Parents,80%,48%,54%,68%,55%,55%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Other students,24%,25%,16%,7%,10%,10%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Local leaders,46%,19%,26%,18%,15%,15%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Religious leaders,7%,8%,8%,4%,4%,4%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Other,11%,4%,3%,3%,3%,3%,%,
"Marginalization, Exclusion, and Discrimination","Who students go to to resolve the problem related to marginalization, exclusion, discrimination, ",Refuse / no response,2%,5%,5%,3%,2%,2%,%,
Education Access and Quality,Attitude towards Education Index,Mean average,81%,82%,82%,81%,79%,79%,%,
Education Access and Quality,Rank education access,Very good,27%,5%,12%,10%,11%,11%,%,
Education Access and Quality,Rank education access,Good,40%,33%,29%,37%,33%,33%,%,
Education Access and Quality,Rank education access,Average,24%,41%,39%,23%,27%,27%,%,
Education Access and Quality,Rank education access,Bad,7%,17%,13%,19%,20%,20%,%,
Education Access and Quality,Rank education access,Very bad,0%,4%,7%,11%,9%,9%,%,
Education Access and Quality,Rank education access,Refuse / no response,4%,0%,0%,1%,1%,1%,%,
Education Access and Quality,Rank quality of education,Very good,25%,2%,6%,8%,7%,7%,%,
Education Access and Quality,Rank quality of education,Good,40%,33%,24%,37%,34%,34%,%,
Education Access and Quality,Rank quality of education,Average,22%,47%,43%,25%,30%,30%,%,
Education Access and Quality,Rank quality of education,Bad,5%,12%,20%,20%,19%,19%,%,
Education Access and Quality,Rank quality of education,Very bad,0%,6%,8%,10%,8%,8%,%,
Education Access and Quality,Rank quality of education,Refuse / no response,8%,1%,0%,1%,2%,2%,%,
Education Access and Quality,Main factors that prevent students from attending school,Illness,61%,53%,60%,44%,57%,57%,%,
Education Access and Quality,Main factors that prevent students from attending school,A family member is sick,35%,19%,32%,10%,17%,17%,%,
Education Access and Quality,Main factors that prevent students from attending school,Need to take care of family matter,21%,17%,24%,7%,17%,17%,%,
Education Access and Quality,Main factors that prevent students from attending school,Have to work,46%,21%,27%,10%,21%,21%,%,
Education Access and Quality,Main factors that prevent students from attending school,Teacher absent from school,14%,16%,22%,8%,19%,19%,%,
Education Access and Quality,Main factors that prevent students from attending school,School is too far,17%,27%,28%,15%,25%,25%,%,
Education Access and Quality,Main factors that prevent students from attending school,Unsafe School,9%,6%,11%,4%,9%,9%,%,
Education Access and Quality,Main factors that prevent students from attending school,School if located in an insecure area,19%,3%,6%,1%,7%,7%,%,
Education Access and Quality,Main factors that prevent students from attending school,Other,49%,53%,33%,69%,47%,47%,%,
Education Access and Quality,Main factors that prevent students from attending school,Refuse / no response,3%,2%,2%,1%,2%,2%,%,
Education Access and Quality,Main factors that help students attending school,Bursaries,74%,65%,56%,56%,55%,55%,%,
Education Access and Quality,Main factors that help students attending school,Older siblings at the same school,13%,21%,24%,8%,18%,18%,%,
Education Access and Quality,Main factors that help students attending school,Supportive teachers,53%,51%,67%,52%,58%,58%,%,
Education Access and Quality,Main factors that help students attending school,Supportive family members,71%,60%,71%,73%,65%,65%,%,
Education Access and Quality,Main factors that help students attending school,Extra-curricular activities,19%,17%,21%,17%,20%,20%,%,
Education Access and Quality,Main factors that help students attending school,Good Curriculum,31%,17%,25%,11%,23%,23%,%,
Education Access and Quality,Main factors that help students attending school,Other,20%,25%,5%,22%,16%,16%,%,
Education Access and Quality,Main factors that help students attending school,Refuse / no response,2%,1%,2%,1%,1%,1%,%,
Education Access and Quality,Main factors that limit the quality of education,Lack of meals at school,80%,42%,49%,44%,48%,48%,%,
Education Access and Quality,Main factors that limit the quality of education,No adequate classrooms,54%,42%,65%,28%,40%,40%,%,
Education Access and Quality,Main factors that limit the quality of education,High pupil/teacher ratio,14%,31%,50%,19%,28%,28%,%,
Education Access and Quality,Main factors that limit the quality of education,Untrained teachers,37%,51%,37%,31%,33%,33%,%,
Education Access and Quality,Main factors that limit the quality of education,Lack of teaching and learning materials,72%,51%,66%,52%,49%,49%,%,
Education Access and Quality,Main factors that limit the quality of education,Lack monitoring,17%,33%,26%,36%,38%,38%,%,
Education Access and Quality,Main factors that limit the quality of education,Teachers are not paid (at all or on time),15%,13%,23%,44%,21%,21%,%,
Education Access and Quality,Main factors that limit the quality of education,Other,28%,31%,11%,20%,22%,22%,%,
Education Access and Quality,Main factors that limit the quality of education,Refuse / no response,2%,2%,0%,1%,2%,2%,%,
Education Access and Quality,What is needed to improve education?,School meals,82%,45%,41%,43%,48%,48%,%,
Education Access and Quality,What is needed to improve education?,Provision of more classrooms,57%,45%,68%,41%,48%,48%,%,
Education Access and Quality,What is needed to improve education?,Pay teachers salaries/incentives,27%,51%,53%,70%,48%,48%,%,
Education Access and Quality,What is needed to improve education?,School monitoring by all stakeholders,20%,40%,44%,43%,42%,42%,%,
Education Access and Quality,What is needed to improve education?,Provision of adequate scholastic materials,79%,52%,62%,55%,55%,55%,%,
Education Access and Quality,What is needed to improve education?,Sensitisation on the children's rights,42%,25%,36%,21%,25%,25%,%,
Education Access and Quality,What is needed to improve education?,Other,25%,30%,14%,18%,19%,19%,%,
Education Access and Quality,What is needed to improve education?,Refuse / no response,1%,3%,0%,1%,1%,1%,%,
Conflicts in School,Most common types of disputes in school,Poor leadership styles,40%,39%,44%,44%,33%,33%,%,
Conflicts in School,Most common types of disputes in school,Teachers salaries,52%,34%,44%,50%,42%,42%,%,
Conflicts in School,Most common types of disputes in school,Poor feeding,85%,34%,49%,63%,54%,54%,%,
