Group,Question,Response,Value1,Value2,Value3,Value4,Value5,Value6,Units
Group_1,Question_1,Response_1,0.91,0.56,0.17,0.18,1,0.25,Percent
Group_1,Question_1,Response_2,0.32,0.79,0.74,0.23,0.68,0.77,Percent
Group_1,Question_1,Response_3,0.96,0.87,0.46,0.09,0.45,0.23,Percent
Group_1,Question_2,Response_1,8585,18695,6690,12153,19943,13870,US_Dollars
Group_1,Question_2,Response_2,21137,19827,20844,14968,18162,21163,US_Dollars
Group_1,Question_3,Response_1,68,15,27,33,26,23,Years
Group_1,Question_4,Response_1,0.69,0.55,0.92,0.45,0.47,0.89,Percent
Group_1,Question_4,Response_2,0.99,0.28,0.84,0.31,0.36,0.79,Percent
Group_2,Question_1,Response_1,0.67,0.13,0.54,0.19,0.15,0.42,Percent
Group_2,Question_1,Response_2,0.07,0.75,0.56,0.39,0.07,0.34,Percent
Group_2,Question_1,Response_3,0.35,0.5,0.14,0.33,0.99,0.21,Percent
Group_2,Question_1,Response_4,0.12,0.45,0.34,0.2,0.98,0.15,Percent
Group_2,Question_2,Response_1,0.29,0.26,0.15,0.05,0.12,0.05,Percent
Group_2,Question_2,Response_2,0.81,0.12,0.14,0.86,0.43,0.97,Percent
Group_2,Question_2,Response_3,0.38,0.52,0.19,0.23,0.23,0.01,Percent
Group_2,Question_2,Response_4,0.87,0.17,0.62,0.62,0.67,0.32,Percent
Group_2,Question_3,Response_1,0.81,0.82,0.78,0.2,0.5,0.64,Percent
Group_2,Question_3,Response_2,0.07,0.63,0.54,0.82,0.31,0.86,Percent
Group_2,Question_3,Response_3,0.84,0.53,0.68,0.89,0.21,0.3,Percent
Group_2,Question_3,Response_4,0.32,0.16,0.6,0.59,0.5,0.89,Percent
Group_2,Question_3,Response_5,0.59,0.2,0.06,0.52,0.07,0.16,Percent
Group_2,Question_3,Response_6,0.4,0.62,0.39,0.27,0.11,0.36,Percent
Group_2,Question_3,Response_7,0.6,0.96,0.88,0.94,0.37,0.19,Percent
Group_2,Question_3,Response_8,0.48,0.06,0.32,0.82,0.76,0.79,Percent
Group_2,Question_3,Response_9,0.99,0.3,0.7,0.64,0.15,0.51,Percent
Group_2,Question_3,Response_10,0.49,0.02,0.18,1,0.45,0.41,Percent
Group_2,Question_4,Response_1,0.89,0.27,0.21,0.98,0.36,0.16,Percent
Group_2,Question_4,Response_2,0.14,0.3,0.38,0.32,0.18,0.67,Percent
Group_2,Question_4,Response_3,0.52,0.24,0.8,0.24,0.64,0.05,Percent
Group_3,Question_1,Response_1,0.31,0.74,0.8,0.14,0.24,0.41,Percent
Group_3,Question_1,Response_2,0.74,0.07,0.86,0.74,0.85,0.87,Percent
Group_3,Question_1,Response_3,0.98,0,0.68,0.98,0.63,0.35,Percent
Group_3,Question_1,Response_4,0.03,0.41,0.87,0.36,0.01,0.13,Percent
Group_3,Question_1,Response_5,0.23,0.76,0.63,1,0.51,0.1,Percent
Group_3,Question_2,Response_1,0.89,0.26,0.7,0.69,0.42,0.08,Percent
Group_3,Question_2,Response_2,0.02,0.53,0.83,0.86,0.83,0.16,Percent
Group_3,Question_2,Response_3,0,0.44,0.86,0.16,0.94,0.53,Percent
Group_3,Question_2,Response_4,0.66,0.23,0.82,0.29,0.75,0.41,Percent
Group_3,Question_2,Response_5,0.95,1,0.65,0.08,0.65,0.35,Percent
Group_3,Question_3,Response_1,0.65,0.69,0.14,0.31,0.68,0.85,Percent
Group_3,Question_3,Response_2,0.79,0.69,0.53,0.3,0.81,0.12,Percent
Group_3,Question_3,Response_3,0.89,0.32,0.3,0.53,0,0.96,Percent
Group_3,Question_4,Response_1,0.28,0.01,0.89,0.29,0.85,0.11,Percent
Group_3,Question_4,Response_2,0.93,0.94,0.6,0.25,0.63,0.58,Percent
Group_3,Question_4,Response_3,0.99,0.68,0.62,0.98,0.4,0.91,Percent
Group_3,Question_4,Response_4,0.41,0.67,0.68,0.24,0.03,0.23,Percent
Group_3,Question_4,Response_5,0.63,0.34,0.14,0.39,0.82,0.54,Percent
Group_3,Question_4,Response_6,0.1,0.84,0.43,0.45,0.92,0.36,Percent
Group_3,Question_4,Response_7,0.37,0.54,0.74,0.46,0.31,0.17,Percent
Group_3,Question_4,Response_8,0.11,0.41,0.95,0.58,0.95,0.41,Percent
Group_5,Question_1,Response_1,0.61,0.03,0.43,0.16,0.57,0.39,Percent
Group_5,Question_1,Response_2,0.17,0.49,0.04,0.14,0.96,0.84,Percent
Group_5,Question_1,Response_3,0.7,0.09,0.43,0.12,0.63,0.54,Percent
Group_5,Question_1,Response_4,0.94,0.98,0.95,0.46,0.92,0.14,Percent
